borough,address,zonedist1,zonedist2,bldgclass,landuse,numfloors,unitsres,unitstotal,assesstot,yearbuilt,builtfar,residfar,commfar,BBL,latitude,longitude
BX,5716 BROADWAY,M1-1,,K1,5.0,1.0,0,1,1626750.0,1951.0,0.35,0.0,1.0,2032690001,40.8819659,-73.9019362
BK,253 LORRAINE STREET,M1-1,,V1,11.0,,0,0,171450.0,0.0,0.0,0.0,1.0,3004840021,40.672458,-73.9995133
BK,222 BUSH STREET,M1-1,,G1,10.0,1.0,0,1,49050.0,0.0,1.0,0.0,1.0,3004840010,40.6729686,-73.9998306
BK,388 HAMILTON AVENUE,M1-1,,Z9,,,0,0,14324.0,0.0,0.0,0.0,1.0,3004840017,40.6726831,-73.9995133
BK,386 HAMILTON AVENUE,M1-1,,Z9,,,0,0,34394.0,0.0,0.06,0.0,1.0,3004840016,40.6727078,-73.9995818
BK,14 ASH STREET,M1-2,,E1,6.0,2.0,0,1,365400.0,1960.0,2.0,0.0,2.0,3024790011,40.7378377,-73.9548685
BK,1268 45 STREET,C4-3,,C0,2.0,3.0,3,3,120480.0,1970.0,1.73,2.43,3.4,3056160032,40.6373985,-73.9904663
BK,2618 WEST 13 STREET,M1-1,,B2,1.0,2.0,2,2,63180.0,1930.0,0.6,0.0,1.0,3072250013,40.5843901,-73.9822006
BK,2620 WEST 13 STREET,M1-1,,G1,10.0,1.0,0,1,217800.0,1988.0,0.85,0.0,1.0,3072250014,40.5843023,-73.9821826
BK,426 KEAP STREET,M1-2/R6A,,D1,3.0,5.0,29,29,5297850.0,2006.0,3.72,3.0,2.0,3023870002,40.7117232,-73.9525776
BK,105 EVERGREEN AVENUE,M1-1,,E7,6.0,3.0,0,1,14168700.0,1955.0,1.44,0.0,1.0,3031630001,40.699866,-73.9313044
MN,93 CANAL STREET,C6-1G,,K7,5.0,2.0,0,1,366750.0,1900.0,2.0,3.44,6.0,1003010011,40.7155946,-73.9936043
BK,309 STARR STREET,M1-1,,F4,6.0,1.0,0,1,343350.0,1967.0,0.71,0.0,1.0,3031900045,40.7076984,-73.9208905
QN,11-36 44 DRIVE,M1-4A/R8A,,C4,2.0,4.0,17,17,656550.0,1907.0,2.84,6.02,5.0,4000520035,40.7480923,-73.948755
BK,175 WATER STREET,M1-4/R8A,,A5,1.0,4.0,1,1,288900.0,2014.0,3.82,6.02,2.0,3000300003,40.7032399,-73.9871929
BK,47 PEARL STREET,M1-4/R8A,,E1,6.0,1.0,0,1,205200.0,1971.0,0.97,6.02,2.0,3000300006,40.7034952,-73.987319
BK,FRONT STREET,M1-2,,V1,11.0,,0,0,889650.0,0.0,0.0,0.0,2.0,3000430037,40.7024624,-73.9818733
BK,JAY STREET,M1-4/R8A,,G7,10.0,,0,0,155250.0,0.0,0.0,6.02,2.0,3000300020,40.7032015,-73.9868358
BK,181 WATER STREET,M1-4/R8A,,F5,6.0,1.0,0,0,36000.0,1973.0,0.9,6.02,2.0,3000300022,40.7032097,-73.9869693
BK,179 WATER STREET,M1-4/R8A,,E1,6.0,1.0,0,0,93600.0,1920.0,0.98,6.02,2.0,3000300023,40.7032344,-73.9870414
BK,169 WATER STREET,M1-4/R8A,,A5,1.0,4.0,1,1,300600.0,2014.0,3.82,6.02,2.0,3000300101,40.7032482,-73.9873984
BK,68 JAY STREET,M1-4/R8A,,O6,5.0,10.0,0,155,25886700.0,1914.0,7.77,6.02,2.0,3000400001,40.7027788,-73.9871497
BK,FRONT STREET,M1-5/R9-1,,G7,10.0,,0,0,2059200.0,0.0,0.0,9.0,5.0,3000520015,40.7019527,-73.9880443
BK,86 PEARL STREET,M1-5/R9-1,,G7,10.0,,0,0,5567850.0,0.0,0.0,9.0,5.0,3000520017,40.7021256,-73.9879036
BK,110 YORK STREET,M1-6,,O2,5.0,6.0,0,5,3129300.0,1900.0,7.12,0.0,10.0,3000640008,40.7013652,-73.9869444
BK,81 PROSPECT STREET,M1-6,,O6,5.0,9.0,0,3,9075150.0,1909.0,11.28,0.0,10.0,3000640025,40.700874,-73.9875215
BK,55 PROSPECT STREET,M1-6,,O6,5.0,10.0,0,48,24904800.0,1967.0,12.37,0.0,10.0,3000630001,40.7008905,-73.9881923
BK,20 JAY STREET,M1-4/R8A,,O6,5.0,11.0,0,240,34513650.0,1909.0,12.08,6.02,2.0,3000190001,40.7041018,-73.9870701
BK,104 YORK STREET,M1-6,,Z9,,,0,0,169650.0,0.0,0.0,0.0,10.0,3000640001,40.7011237,-73.9872257
BK,PEARL STREET,M1-5/R9-1,,Z9,,,0,0,1030950.0,0.0,0.0,9.0,5.0,3000530001,40.7018539,-73.9874961
BK,64 JOHN STREET,M1-4/R7A,,E9,6.0,2.0,0,1,2584350.0,1900.0,1.59,4.0,2.0,3000200014,40.7040879,-73.9855481
BK,18 BRIDGE STREET,M1-4/R7A,,O8,4.0,4.0,4,40,4094100.0,1910.0,4.29,4.0,2.0,3000200021,40.7041564,-73.9849566
BK,195 PLYMOUTH STREET,M1-4/R7A,,O5,5.0,6.0,0,3,5322150.0,1910.0,3.02,4.0,2.0,3000200029,40.7038984,-73.9851225
BK,73 JAY STREET,M1-4/R8A,,K4,4.0,1.0,0,2,180000.0,1899.0,1.57,6.02,2.0,3000410001,40.7025207,-73.9865041
BK,67 JAY STREET,M1-4/R8A,,K4,4.0,3.0,0,3,850050.0,1910.0,1.46,6.02,2.0,3000410002,40.7026607,-73.9864284
BK,65 JAY STREET,M1-4/R8A,,O5,5.0,4.0,0,2,1985400.0,1991.0,3.48,6.02,2.0,3000410005,40.7028309,-73.9863706
BK,220 WATER STREET,M1-4/R7A,,D7,4.0,7.0,135,136,26932050.0,1900.0,3.94,4.0,2.0,3000410017,40.7027182,-73.9851841
BK,53 BRIDGE STREET,M1-4/R7A,R6B,O6,5.0,8.0,0,40,9335700.0,1906.0,3.99,4.0,2.0,3000420001,40.7027016,-73.984369
BK,265 FRONT STREET,M1-2,,E2,6.0,2.0,0,1,133200.0,1987.0,0.3,0.0,2.0,3000430001,40.7024845,-73.9825838
BK,255 WATER STREET,M1-4/R7A,,O5,5.0,5.0,0,25,3041100.0,1900.0,3.4,4.0,2.0,3000320055,40.7031984,-73.9839866
BK,265 WATER STREET,M1-2,,F5,6.0,2.0,0,2,317250.0,1925.0,1.84,0.0,2.0,3000320140,40.7031818,-73.9833987
BK,JAY STREET,M3-1,,U2,7.0,,0,0,0.0,0.0,0.0,0.0,2.0,3000030001,40.7050649,-73.9844262
BK,35 JAY STREET,M1-6/R8X,,O6,5.0,11.0,0,13,46294650.0,2023.0,10.38,6.02,10.0,3000200001,40.7039754,-73.9861973
BK,25 JAY STREET,M1-6/R8X,,D7,4.0,5.0,26,28,7594200.0,1892.0,5.0,6.02,10.0,3000200006,40.7042279,-73.9862441
BX,1145 BRONX RIVER AVENUE,M1-1,,E1,6.0,1.0,0,2,351000.0,1930.0,1.0,0.0,1.0,2037340025,40.8267641,-73.8838786
BK,9 OLD FULTON STREET,M2-1,,S3,4.0,4.0,3,4,954000.0,2015.0,3.82,0.0,2.0,3000350010,40.7029468,-73.9937714
BK,55 WATER STREET,M3-1,,O5,5.0,5.0,0,15,82985400.0,1900.0,4.85,0.0,2.0,3000260050,40.7036246,-73.9916975
BK,45 WATER STREET,M3-1,,J2,5.0,1.0,0,1,3894300.0,1900.0,0.83,0.0,2.0,3000260080,40.7036741,-73.9928949
BK,25 WASHINGTON STREET,C6-2A,,D7,4.0,8.0,106,107,13862250.0,1902.0,7.08,6.02,6.0,3000280005,40.7036546,-73.9891945
BX,439 DEVOE AVENUE,M1-1,,V1,11.0,,0,0,301500.0,0.0,0.0,0.0,1.0,2040030010,40.841677,-73.8767725
BK,2 ST NICHOLAS AVENUE,M1-1,,O2,5.0,2.0,0,50,757350.0,1931.0,2.0,0.0,1.0,3031770020,40.7077929,-73.9225604
BX,746 EAST 133 STREET,M1-2,,E2,6.0,1.0,0,2,335250.0,1931.0,1.0,0.0,2.0,2025610039,40.8010674,-73.9144695
BX,751 EAST 132 STREET,M1-2,,E9,6.0,1.0,0,1,270450.0,1958.0,0.69,0.0,2.0,2025610058,40.8009523,-73.9147225
BX,759 EAST 133 STREET,M1-2/R6A,M1-4/R7D,B2,1.0,2.0,2,2,42600.0,1920.0,0.97,3.0,2.0,2025620061,40.8013717,-73.9139888
BK,1357 BROADWAY,C4-3,,S4,4.0,3.0,4,5,469350.0,1931.0,2.06,2.43,3.4,3033300050,40.6898995,-73.9223071
BK,1083 GATES AVENUE,C4-3,,K1,5.0,1.0,0,1,107100.0,1931.0,0.43,2.43,3.4,3033300043,40.6899707,-73.9219284
BK,1367 BROADWAY,C4-3,,K1,5.0,1.0,0,3,512100.0,1931.0,1.0,2.43,3.4,3033300046,40.6897813,-73.9220296
BK,1363 BROADWAY,C4-3,,K1,5.0,1.0,0,1,120600.0,1931.0,0.55,2.43,3.4,3033300048,40.6898418,-73.9221413
BK,13 PALMETTO STREET,C4-3,,C2,2.0,5.0,6,6,624150.0,1905.0,2.28,2.43,3.4,3033390044,40.6895694,-73.9211681
BK,1369 BROADWAY,C4-3,,Z3,8.0,1.0,0,1,1121400.0,1996.0,0.61,2.43,3.4,3033390045,40.6895202,-73.921471
BK,6 ST NICHOLAS AVENUE,M1-1,,C3,2.0,2.0,4,4,296550.0,1931.0,1.44,0.0,1.0,3031770022,40.7077297,-73.9224559
BK,1327 BROADWAY,C4-3,,K4,4.0,2.0,0,1,556650.0,1931.0,2.0,2.43,3.4,3033210052,40.6903749,-73.9230097
BX,627 MORRIS PARK AVENUE,M1-1,,S2,4.0,2.0,2,3,46500.0,1899.0,0.63,0.0,1.0,2040110028,40.8447947,-73.8690357
BX,1817 UNIONPORT ROAD,M1-1,,F5,6.0,1.0,0,1,184950.0,1950.0,0.68,0.0,1.0,2040110016,40.845025,-73.8687787
BX,1111 LEBANON STREET,M1-1,,C0,2.0,2.75,3,3,44760.0,1899.0,1.17,0.0,1.0,2040060008,40.8414263,-73.8759164
BX,425 DEVOE AVENUE,M1-1,,E9,6.0,3.0,0,1,3475350.0,1900.0,2.24,0.0,1.0,2040030016,40.8412464,-73.8770444
BX,1115 LEBANON STREET,M1-1,,V1,11.0,,0,0,38250.0,0.0,0.0,0.0,1.0,2040060006,40.8413685,-73.8757539
BX,1110 EAST 180 STREET,M1-1,,B2,1.0,2.5,2,2,44640.0,1899.0,1.01,0.0,1.0,2040060019,40.8416842,-73.8757533
BX,1112 EAST 180 STREET,M1-1,,B2,1.0,2.0,2,2,39360.0,1899.0,0.84,0.0,1.0,2040060020,40.8416539,-73.8756738
BX,1954 BIRCHALL AVENUE,M1-1,,G1,10.0,1.0,0,3,95850.0,1927.0,0.32,0.0,1.0,2040110120,40.8481373,-73.8685918
BX,1976 BIRCHALL AVENUE,M1-1,,K4,4.0,3.0,2,5,302850.0,1930.0,0.57,0.0,1.0,2040110130,40.8485239,-73.8682693
BX,1978 BIRCHALL AVENUE,M1-1,,G7,10.0,,0,0,58050.0,0.0,0.0,0.0,1.0,2040110131,40.8487132,-73.8681858
BX,1901 AMETHYST STREET,M1-1,,E1,6.0,1.0,0,1,167850.0,1996.0,1.0,0.0,1.0,2040110153,40.8472534,-73.8684815
BX,1956 BIRCHALL AVENUE,M1-1,,V1,11.0,,0,0,76500.0,0.0,0.0,0.0,1.0,2040110125,40.8483374,-73.8684107
